BayesianSearch: New best config found. Config: {'weights1': 0.4352708455998633, 'weights2': 0.9888675957849619, 'weights3': 0.48903280989103226, 'weights4': 0.09240871656055005, 'weights5': 0.17244462784065084, 'normalize': False} - results: {'ROC_AUC': 0.4614497142857098, 'PRECISION': 0.146569999999999, 'RECALL': 0.146569999999999, 'RECALL_TEST_LEN': 0.146569999999999, 'MAP': 0.07962288095238029, 'MRR': 0.4036677380952411, 'NDCG': 0.16963145168870689, 'F1': 0.146569999999999, 'HIT_RATE': 1.4657, 'ARHR': 0.5605390079365091, 'NOVELTY': 0.005341635313667286, 'DIVERSITY_MEAN_INTER_LIST': 0.9729232923292329, 'DIVERSITY_HERFINDAHL': 0.9972826, 'COVERAGE_ITEM': 0.13103949600193845, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.20187074306839187, 'SHANNON_ENTROPY': 9.408623496226712} - time: 2018-11-30 12:48:30.741622
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.16525384773937535, 'weights2': 0.4538519352550118, 'weights3': 0.2833565118243665, 'weights4': 0.3112365278661352, 'weights5': 0.07403254192472997, 'normalize': True} - results: {'ROC_AUC': 0.42723330952380584, 'PRECISION': 0.13884999999999906, 'RECALL': 0.13884999999999906, 'RECALL_TEST_LEN': 0.13884999999999906, 'MAP': 0.07372405158730101, 'MRR': 0.3656966269841291, 'NDCG': 0.15730634277760983, 'F1': 0.13884999999999906, 'HIT_RATE': 1.3885, 'ARHR': 0.5114223412698435, 'NOVELTY': 0.005791041936766689, 'DIVERSITY_MEAN_INTER_LIST': 0.9914676947694769, 'DIVERSITY_HERFINDAHL': 0.9991368548, 'COVERAGE_ITEM': 0.20542767143203294, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.3113098537735849, 'SHANNON_ENTROPY': 10.779525513689688} - time: 2018-11-30 13:04:36.481539
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.3745101970667055, 'weights2': 0.4863277923059094, 'weights3': 0.000975003577683764, 'weights4': 0.6353200412799459, 'weights5': 0.23337953064208905, 'normalize': True} - results: {'ROC_AUC': 0.42723330952380584, 'PRECISION': 0.13884999999999906, 'RECALL': 0.13884999999999906, 'RECALL_TEST_LEN': 0.13884999999999906, 'MAP': 0.07372405158730101, 'MRR': 0.3656966269841291, 'NDCG': 0.15730634277760983, 'F1': 0.13884999999999906, 'HIT_RATE': 1.3885, 'ARHR': 0.5114223412698435, 'NOVELTY': 0.005791041936766689, 'DIVERSITY_MEAN_INTER_LIST': 0.9914676947694769, 'DIVERSITY_HERFINDAHL': 0.9991368548, 'COVERAGE_ITEM': 0.20542767143203294, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.3113098537735849, 'SHANNON_ENTROPY': 10.779525513689688} - time: 2018-11-30 13:04:45.678726
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.5309414912688477, 'weights2': 0.5746741801960076, 'weights3': 0.41433711417904184, 'weights4': 0.22039790358333788, 'weights5': 0.3317404188275863, 'normalize': True} - results: {'ROC_AUC': 0.42723330952380584, 'PRECISION': 0.13884999999999906, 'RECALL': 0.13884999999999906, 'RECALL_TEST_LEN': 0.13884999999999906, 'MAP': 0.07372405158730101, 'MRR': 0.3656966269841291, 'NDCG': 0.15730634277760983, 'F1': 0.13884999999999906, 'HIT_RATE': 1.3885, 'ARHR': 0.5114223412698435, 'NOVELTY': 0.005791041936766689, 'DIVERSITY_MEAN_INTER_LIST': 0.9914676947694769, 'DIVERSITY_HERFINDAHL': 0.9991368548, 'COVERAGE_ITEM': 0.20542767143203294, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.3113098537735849, 'SHANNON_ENTROPY': 10.779525513689688} - time: 2018-11-30 13:04:54.956465
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.3190566877559238, 'weights2': 0.41115768761610083, 'weights3': 0.32930793682565407, 'weights4': 0.9317310119297723, 'weights5': 0.5202917251827931, 'normalize': True} - results: {'ROC_AUC': 0.42723330952380584, 'PRECISION': 0.13884999999999906, 'RECALL': 0.13884999999999906, 'RECALL_TEST_LEN': 0.13884999999999906, 'MAP': 0.07372405158730101, 'MRR': 0.3656966269841291, 'NDCG': 0.15730634277760983, 'F1': 0.13884999999999906, 'HIT_RATE': 1.3885, 'ARHR': 0.5114223412698435, 'NOVELTY': 0.005791041936766689, 'DIVERSITY_MEAN_INTER_LIST': 0.9914676947694769, 'DIVERSITY_HERFINDAHL': 0.9991368548, 'COVERAGE_ITEM': 0.20542767143203294, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.3113098537735849, 'SHANNON_ENTROPY': 10.779525513689688} - time: 2018-11-30 13:05:04.153338
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.4100338523947321, 'weights2': 0.0005563686236375043, 'weights3': 0.30299425817766623, 'weights4': 0.13658867461400992, 'weights5': 0.9350861071302053, 'normalize': True} - results: {'ROC_AUC': 0.42723330952380584, 'PRECISION': 0.13884999999999906, 'RECALL': 0.13884999999999906, 'RECALL_TEST_LEN': 0.13884999999999906, 'MAP': 0.07372405158730101, 'MRR': 0.3656966269841291, 'NDCG': 0.15730634277760983, 'F1': 0.13884999999999906, 'HIT_RATE': 1.3885, 'ARHR': 0.5114223412698435, 'NOVELTY': 0.005791041936766689, 'DIVERSITY_MEAN_INTER_LIST': 0.9914676947694769, 'DIVERSITY_HERFINDAHL': 0.9991368548, 'COVERAGE_ITEM': 0.20542767143203294, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.3113098537735849, 'SHANNON_ENTROPY': 10.779525513689688} - time: 2018-11-30 13:05:13.370270
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.10520838793670295, 'weights2': 0.9875389652161295, 'weights3': 0.24417334861765816, 'weights4': 0.8656262223233476, 'weights5': 0.2897058830640209, 'normalize': True} - results: {'ROC_AUC': 0.42723330952380584, 'PRECISION': 0.13884999999999906, 'RECALL': 0.13884999999999906, 'RECALL_TEST_LEN': 0.13884999999999906, 'MAP': 0.07372405158730101, 'MRR': 0.3656966269841291, 'NDCG': 0.15730634277760983, 'F1': 0.13884999999999906, 'HIT_RATE': 1.3885, 'ARHR': 0.5114223412698435, 'NOVELTY': 0.005791041936766689, 'DIVERSITY_MEAN_INTER_LIST': 0.9914676947694769, 'DIVERSITY_HERFINDAHL': 0.9991368548, 'COVERAGE_ITEM': 0.20542767143203294, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.3113098537735849, 'SHANNON_ENTROPY': 10.779525513689688} - time: 2018-11-30 13:05:22.577081
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.09390627621157421, 'weights2': 0.9256867854007326, 'weights3': 0.76570343458156, 'weights4': 0.780718751410056, 'weights5': 0.5853358308026856, 'normalize': True} - results: {'ROC_AUC': 0.42723330952380584, 'PRECISION': 0.13884999999999906, 'RECALL': 0.13884999999999906, 'RECALL_TEST_LEN': 0.13884999999999906, 'MAP': 0.07372405158730101, 'MRR': 0.3656966269841291, 'NDCG': 0.15730634277760983, 'F1': 0.13884999999999906, 'HIT_RATE': 1.3885, 'ARHR': 0.5114223412698435, 'NOVELTY': 0.005791041936766689, 'DIVERSITY_MEAN_INTER_LIST': 0.9914676947694769, 'DIVERSITY_HERFINDAHL': 0.9991368548, 'COVERAGE_ITEM': 0.20542767143203294, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.3113098537735849, 'SHANNON_ENTROPY': 10.779525513689688} - time: 2018-11-30 13:05:33.821831
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.8063900537407965, 'weights2': 0.8000100277658385, 'weights3': 0.5082450453263657, 'weights4': 0.6888389462377877, 'weights5': 0.978498109718574, 'normalize': False} - results: {'ROC_AUC': 0.42723330952380584, 'PRECISION': 0.13884999999999906, 'RECALL': 0.13884999999999906, 'RECALL_TEST_LEN': 0.13884999999999906, 'MAP': 0.07372405158730101, 'MRR': 0.3656966269841291, 'NDCG': 0.15730634277760983, 'F1': 0.13884999999999906, 'HIT_RATE': 1.3885, 'ARHR': 0.5114223412698435, 'NOVELTY': 0.005791041936766689, 'DIVERSITY_MEAN_INTER_LIST': 0.9914676947694769, 'DIVERSITY_HERFINDAHL': 0.9991368548, 'COVERAGE_ITEM': 0.20542767143203294, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.3113098537735849, 'SHANNON_ENTROPY': 10.779525513689688} - time: 2018-11-30 13:05:43.918218
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.176233827516739, 'weights2': 0.41903351380240594, 'weights3': 0.067526104391058, 'weights4': 0.38091501293049745, 'weights5': 0.0397562863848665, 'normalize': True} - results: {'ROC_AUC': 0.42723330952380584, 'PRECISION': 0.13884999999999906, 'RECALL': 0.13884999999999906, 'RECALL_TEST_LEN': 0.13884999999999906, 'MAP': 0.07372405158730101, 'MRR': 0.3656966269841291, 'NDCG': 0.15730634277760983, 'F1': 0.13884999999999906, 'HIT_RATE': 1.3885, 'ARHR': 0.5114223412698435, 'NOVELTY': 0.005791041936766689, 'DIVERSITY_MEAN_INTER_LIST': 0.9914676947694769, 'DIVERSITY_HERFINDAHL': 0.9991368548, 'COVERAGE_ITEM': 0.20542767143203294, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.3113098537735849, 'SHANNON_ENTROPY': 10.779525513689688} - time: 2018-11-30 13:05:53.657194
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.7118888371616592, 'weights2': 0.8948020843875523, 'weights3': 0.06939929612182683, 'weights4': 0.8145536536907447, 'weights5': 0.8658001488312994, 'normalize': True} - results: {'ROC_AUC': 0.42723330952380584, 'PRECISION': 0.13884999999999906, 'RECALL': 0.13884999999999906, 'RECALL_TEST_LEN': 0.13884999999999906, 'MAP': 0.07372405158730101, 'MRR': 0.3656966269841291, 'NDCG': 0.15730634277760983, 'F1': 0.13884999999999906, 'HIT_RATE': 1.3885, 'ARHR': 0.5114223412698435, 'NOVELTY': 0.005791041936766689, 'DIVERSITY_MEAN_INTER_LIST': 0.9914676947694769, 'DIVERSITY_HERFINDAHL': 0.9991368548, 'COVERAGE_ITEM': 0.20542767143203294, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.3113098537735849, 'SHANNON_ENTROPY': 10.779525513689688} - time: 2018-11-30 13:06:06.222302
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.842855078817209, 'weights2': 0.9736342447733697, 'weights3': 0.627551471474396, 'weights4': 0.1058523244536882, 'weights5': 0.3695026686919495, 'normalize': True} - results: {'ROC_AUC': 0.42723330952380584, 'PRECISION': 0.13884999999999906, 'RECALL': 0.13884999999999906, 'RECALL_TEST_LEN': 0.13884999999999906, 'MAP': 0.07372405158730101, 'MRR': 0.3656966269841291, 'NDCG': 0.15730634277760983, 'F1': 0.13884999999999906, 'HIT_RATE': 1.3885, 'ARHR': 0.5114223412698435, 'NOVELTY': 0.005791041936766689, 'DIVERSITY_MEAN_INTER_LIST': 0.9914676947694769, 'DIVERSITY_HERFINDAHL': 0.9991368548, 'COVERAGE_ITEM': 0.20542767143203294, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.3113098537735849, 'SHANNON_ENTROPY': 10.779525513689688} - time: 2018-11-30 13:06:18.604826
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.30613605793386867, 'weights2': 0.6195893853619335, 'weights3': 0.855676290898852, 'weights4': 0.8725955353620679, 'weights5': 0.43452979023416294, 'normalize': True} - results: {'ROC_AUC': 0.42723330952380584, 'PRECISION': 0.13884999999999906, 'RECALL': 0.13884999999999906, 'RECALL_TEST_LEN': 0.13884999999999906, 'MAP': 0.07372405158730101, 'MRR': 0.3656966269841291, 'NDCG': 0.15730634277760983, 'F1': 0.13884999999999906, 'HIT_RATE': 1.3885, 'ARHR': 0.5114223412698435, 'NOVELTY': 0.005791041936766689, 'DIVERSITY_MEAN_INTER_LIST': 0.9914676947694769, 'DIVERSITY_HERFINDAHL': 0.9991368548, 'COVERAGE_ITEM': 0.20542767143203294, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.3113098537735849, 'SHANNON_ENTROPY': 10.779525513689688} - time: 2018-11-30 13:06:36.836534
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.32379294795160496, 'weights2': 0.07331715842579567, 'weights3': 0.9982766777892906, 'weights4': 0.234187347709219, 'weights5': 0.7885359745889999, 'normalize': False} - results: {'ROC_AUC': 0.42723330952380584, 'PRECISION': 0.13884999999999906, 'RECALL': 0.13884999999999906, 'RECALL_TEST_LEN': 0.13884999999999906, 'MAP': 0.07372405158730101, 'MRR': 0.3656966269841291, 'NDCG': 0.15730634277760983, 'F1': 0.13884999999999906, 'HIT_RATE': 1.3885, 'ARHR': 0.5114223412698435, 'NOVELTY': 0.005791041936766689, 'DIVERSITY_MEAN_INTER_LIST': 0.9914676947694769, 'DIVERSITY_HERFINDAHL': 0.9991368548, 'COVERAGE_ITEM': 0.20542767143203294, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.3113098537735849, 'SHANNON_ENTROPY': 10.779525513689688} - time: 2018-11-30 13:06:54.598085
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.9064137360444571, 'weights2': 0.7412886299653626, 'weights3': 0.17211207133288708, 'weights4': 0.1526848195065601, 'weights5': 0.10104838567128371, 'normalize': False} - results: {'ROC_AUC': 0.42723330952380584, 'PRECISION': 0.13884999999999906, 'RECALL': 0.13884999999999906, 'RECALL_TEST_LEN': 0.13884999999999906, 'MAP': 0.07372405158730101, 'MRR': 0.3656966269841291, 'NDCG': 0.15730634277760983, 'F1': 0.13884999999999906, 'HIT_RATE': 1.3885, 'ARHR': 0.5114223412698435, 'NOVELTY': 0.005791041936766689, 'DIVERSITY_MEAN_INTER_LIST': 0.9914676947694769, 'DIVERSITY_HERFINDAHL': 0.9991368548, 'COVERAGE_ITEM': 0.20542767143203294, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.3113098537735849, 'SHANNON_ENTROPY': 10.779525513689688} - time: 2018-11-30 13:07:12.353863
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.9880234636624746, 'weights2': 0.6787854969434988, 'weights3': 0.05512576091490329, 'weights4': 0.7772605487579267, 'weights5': 0.8025185331053735, 'normalize': True} - results: {'ROC_AUC': 0.42723330952380584, 'PRECISION': 0.13884999999999906, 'RECALL': 0.13884999999999906, 'RECALL_TEST_LEN': 0.13884999999999906, 'MAP': 0.07372405158730101, 'MRR': 0.3656966269841291, 'NDCG': 0.15730634277760983, 'F1': 0.13884999999999906, 'HIT_RATE': 1.3885, 'ARHR': 0.5114223412698435, 'NOVELTY': 0.005791041936766689, 'DIVERSITY_MEAN_INTER_LIST': 0.9914676947694769, 'DIVERSITY_HERFINDAHL': 0.9991368548, 'COVERAGE_ITEM': 0.20542767143203294, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.3113098537735849, 'SHANNON_ENTROPY': 10.779525513689688} - time: 2018-11-30 13:07:32.502924
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.5643903237652691, 'weights2': 0.747714988146848, 'weights3': 0.46571048459435693, 'weights4': 0.11118708684199241, 'weights5': 0.5972518884474286, 'normalize': True} - results: {'ROC_AUC': 0.42723330952380584, 'PRECISION': 0.13884999999999906, 'RECALL': 0.13884999999999906, 'RECALL_TEST_LEN': 0.13884999999999906, 'MAP': 0.07372405158730101, 'MRR': 0.3656966269841291, 'NDCG': 0.15730634277760983, 'F1': 0.13884999999999906, 'HIT_RATE': 1.3885, 'ARHR': 0.5114223412698435, 'NOVELTY': 0.005791041936766689, 'DIVERSITY_MEAN_INTER_LIST': 0.9914676947694769, 'DIVERSITY_HERFINDAHL': 0.9991368548, 'COVERAGE_ITEM': 0.20542767143203294, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.3113098537735849, 'SHANNON_ENTROPY': 10.779525513689688} - time: 2018-11-30 13:07:42.941790
BayesianSearch: Config is suboptimal. Config: {'weights1': 0.1634025448071582, 'weights2': 0.9707449144925752, 'weights3': 0.9973435774413967, 'weights4': 0.7986328074160975, 'weights5': 0.1148403867041895, 'normalize': False} - results: {'ROC_AUC': 0.42723330952380584, 'PRECISION': 0.13884999999999906, 'RECALL': 0.13884999999999906, 'RECALL_TEST_LEN': 0.13884999999999906, 'MAP': 0.07372405158730101, 'MRR': 0.3656966269841291, 'NDCG': 0.15730634277760983, 'F1': 0.13884999999999906, 'HIT_RATE': 1.3885, 'ARHR': 0.5114223412698435, 'NOVELTY': 0.005791041936766689, 'DIVERSITY_MEAN_INTER_LIST': 0.9914676947694769, 'DIVERSITY_HERFINDAHL': 0.9991368548, 'COVERAGE_ITEM': 0.20542767143203294, 'COVERAGE_USER': 0.1982317725885105, 'DIVERSITY_GINI': 0.3113098537735849, 'SHANNON_ENTROPY': 10.779525513689688} - time: 2018-11-30 13:07:55.329744
